id,byte,mask,internalName,nameId,targetType,skillType,lawful,delay,costMp,costHp,iconGfxId,iconGfxFrameId,ranged,costMaterialsId,costMaterialsCount
60,7,0x08,Invisibility,58,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,20000,15,0,10368,10,0,23,3
61,7,0x10,Resurrection,59,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,8000,50,0,10368,12,-1,0,0
62,7,0x20,Earth Quake,60,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,2600,42,0,10368,7,0,0,0
63,7,0x40,Life Stream,61,SKILLS_TARGET_LOC,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,20,0,10368,11,-1,23,1
64,7,0x80,Silence,62,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,5000,20,0,10368,13,3,23,2
65,8,0x01,Lightning Storm,63,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3200,54,0,10368,21,10,0,0
66,8,0x02,Devil Touch,145,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,1900,0,0,10368,17,6,0,0
67,8,0x04,Polymorph,65,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,3000,80,0,10368,23,-1,23,1
68,8,0x08,Immune to Harm,66,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,1500,30,0,10368,19,-1,23,2
69,8,0x10,Mass Teleport,67,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,60,30,10368,22,0,23,1
70,8,0x20,Fire Storm,68,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3200,54,0,10368,16,0,0,0
71,8,0x40,Decay Potion,69,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3200,20,0,10368,15,3,23,2
72,8,0x80,Counter Detection,70,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,30,0,10368,14,0,0,0
73,9,0x01,Create Magical Weapon   ,71,SKILLS_TARGET_INVENTORY,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,0,200,0,10368,27,0,23,10
74,9,0x02,Meteor Strike,72,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3600,120,0,10368,33,10,0,0
75,9,0x04,Greater Resurrection,73,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_LAWFUL,10000,100,0,10368,31,-1,23,1
76,9,0x08,Mass Slow,74,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_CHAOTIC,5000,20,0,10368,32,-1,23,2
77,9,0x10,Destroy,75,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_LAWFUL,4500,100,0,10368,28,10,0,0
78,9,0x20,Absolute Barrier,76,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,12000,30,0,10368,24,0,23,2
79,9,0x40,Advance Spirit,77,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,5000,20,0,10368,25,-1,0,0
80,9,0x80,Freezing Blizzard,78,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_CHAOTIC,4000,60,0,10368,30,0,0,0
81,-1,0x00,Reserved 81,-1,0,0,0,0,0,0,0,0,0,0,0
82,-1,0x00,Reserved 82,-1,0,0,0,0,0,0,0,0,0,0,0
83,-1,0x00,Reserved 83,-1,0,0,0,0,0,0,0,0,0,0,0
84,-1,0x00,Reserved 84,-1,0,0,0,0,0,0,0,0,0,0,0
85,-1,0x00,Reserved 85,-1,0,0,0,0,0,0,0,0,0,0,0
86,-1,0x00,Reserved 86,-1,0,0,0,0,0,0,0,0,0,0,0
87,10,0x40,Shock Stun,79,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,10000,0,0,10368,39,1,0,0
88,10,0x80,Reduction Armor,80,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,5,50,10368,38,0,0,0
89,11,0x01,Bounce Attack,81,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,5000,5,120,10368,36,0,0,0
90,11,0x02,Solid Carriage,82,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,10,100,10368,40,0,0,0
91,11,0x04,Counter Barrier,83,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,10,100,10368,37,0,0,0
92,-1,0x00,Reserved 92,-1,0,0,0,0,0,0,0,0,0,0,0
93,-1,0x00,Reserved 93,-1,0,0,0,0,0,0,0,0,0,0,0
94,-1,0x00,Reserved 94,-1,0,0,0,0,0,0,0,0,0,0,0
95,-1,0x00,Reserved 95,-1,0,0,0,0,0,0,0,0,0,0,0
96,-1,0x00,Reserved 96,-1,0,0,0,0,0,0,0,0,0,0,0
97,12,0x01,Blind Hiding,-1,0,0,0,0,0,0,0,0,0,0,0
98,12,0x02,Enchant Venom,-1,0,0,0,0,0,0,0,0,0,0,0
99,12,0x04,Shadow Armor,-1,0,0,0,0,0,0,0,0,0,0,0
100,12,0x08,Purify Stone,-1,0,0,0,0,0,0,0,0,0,0,0
101,12,0x10,Moving Acceleration,-1,0,0,0,0,0,0,0,0,0,0,0
102,12,0x20,Burning Spirit,-1,0,0,0,0,0,0,0,0,0,0,0
103,12,0x40,Dark Blind,-1,0,0,0,0,0,0,0,0,0,0,0
104,12,0x80,Venom Resist,-1,0,0,0,0,0,0,0,0,0,0,0
105,13,0x01,Double Break,-1,0,0,0,0,0,0,0,0,0,0,0
106,13,0x02,Uncanny Dodge,-1,0,0,0,0,0,0,0,0,0,0,0
107,13,0x04,Shadow Fang,-1,0,0,0,0,0,0,0,0,0,0,0
108,13,0x08,Final Burn,-1,0,0,0,0,0,0,0,0,0,0,0
109,13,0x10,Dress Mighty,-1,0,0,0,0,0,0,0,0,0,0,0
110,13,0x20,Dress Dexterity,-1,0,0,0,0,0,0,0,0,0,0,0
111,13,0x40,Dress Evasion,-1,0,0,0,0,0,0,0,0,0,0,0
112,-1,0x00,Reserved 112,-1,0,0,0,0,0,0,0,0,0,0,0
113,14,0x01,True Target,84,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_LAWFUL,800,1,0,10368,41,-1,0,0
114,14,0x02,Glowing Aura,85,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,5000,40,0,10368,44,0,0,0
115,14,0x04,Double Slash,143,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_LAWFUL,3000,18,0,10368,46,1,0,0
116,14,0x08,Call Clan,87,SKILLS_TARGET_CLAN_MEMBER,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,5000,30,0,10368,42,0,0,0
117,14,0x10,Brave Aura,88,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,5000,40,0,10368,43,0,0,0
118,14,0x20,Learn Clan,89,SKILLS_TARGET_CLAN_MEMBER,SKILLS_TYPE_NA,SKILLS_LAWFUL_LAWFUL,5000,30,0,10368,45,0,0,0
119,-1,0x00,Reserved 119,-1,0,0,0,0,0,0,0,0,0,0,0
120,-1,0x00,Reserved 120,-1,0,0,0,0,0,0,0,0,0,0,0
121,-1,0x00,Reserved 121,-1,0,0,0,0,0,0,0,0,0,0,0
122,-1,0x00,Reserved 122,-1,0,0,0,0,0,0,0,0,0,0,0
123,-1,0x00,Reserved 123,-1,0,0,0,0,0,0,0,0,0,0,0
124,-1,0x00,Reserved 124,-1,0,0,0,0,0,0,0,0,0,0,0
125,-1,0x00,Reserved 125,-1,0,0,0,0,0,0,0,0,0,0,0
126,-1,0x00,Reserved 126,-1,0,0,0,0,0,0,0,0,0,0,0
127,-1,0x00,Reserved 127,-1,0,0,0,0,0,0,0,0,0,0,0
128,-1,0x00,Reserved 128,-1,0,0,0,0,0,0,0,0,0,0,0
129,16,0x01,Resist Magic,90,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,8000,5,0,10368,48,0,25,1
130,16,0x02,Body to Mind,91,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,1800,0,8,10368,47,0,0,0
131,16,0x04,Teleport to Mother,92,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,1000,10,0,10368,49,0,0,0
132,16,0x08,Triple Arrow,93,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,1500,15,0,10369,8,-1,0,0
133,16,0x10,Elemental Falldown,94,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3000,10,0,10369,16,-1,25,2
134,16,0x20,Counter Mirror,95,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,10,0,10369,24,0,25,1
135,-1,0x00,Reserved 135,-1,0,0,0,0,0,0,0,0,0,0,0
136,-1,0x00,Reserved 136,-1,0,0,0,0,0,0,0,0,0,0,0
137,17,0x01,Clear Mind,96,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,8000,10,0,10369,0,0,25,1
138,17,0x02,Resist Elemental,97,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,6000,10,0,10369,1,0,25,1
139,-1,0x00,Reserved 139,-1,0,0,0,0,0,0,0,0,0,0,0
140,-1,0x00,Reserved 140,-1,0,0,0,0,0,0,0,0,0,0,0
141,-1,0x00,Reserved 141,-1,0,0,0,0,0,0,0,0,0,0,0
142,-1,0x00,Reserved 142,-1,0,0,0,0,0,0,0,0,0,0,0
143,-1,0x00,Reserved 143,-1,0,0,0,0,0,0,0,0,0,0,0
144,-1,0x00,Reserved 144,-1,0,0,0,0,0,0,0,0,0,0,0
145,18,0x01,Return to Nature,98,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,10000,30,0,10369,7,-1,25,1
146,18,0x02,Blood to Soul,99,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,4000,0,45,10369,2,0,0,0
147,18,0x04,Protection from Elemental,100,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,6000,6,0,10369,6,0,25,1
148,18,0x08,Fire Weapon,101,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,3000,15,0,10369,5,-1,0,0
149,18,0x10,Wind Shot,139,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,3000,15,0,10369,10,-1,0,0
150,18,0x20,Wind Walk,136,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,30,0,10369,11,0,25,5
151,18,0x40,Earth Skin,104,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,3000,15,0,10369,3,-1,0,0
152,18,0x80,Entangle,105,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,30000,30,0,10369,4,10,25,1
153,19,0x01,Erase Magic,106,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3000,18,0,10369,17,-1,25,1
154,19,0x02,Summon Lesser Elemental,107,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,10000,30,0,10369,20,0,24,1
155,19,0x04,Bless of Fire,108,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,0,40,0,10369,14,0,0,0
156,19,0x08,Eye of Storm,109,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,0,40,0,10369,18,0,0,0
157,19,0x10,Earth Bind,110,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,4000,10,0,10369,15,-1,25,2
158,19,0x20,Nature's Touch,111,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,0,20,0,10369,19,-1,0,0
159,19,0x40,Bless of Earth,112,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,40,0,10369,13,0,0,0
160,19,0x80,Aqua Protector,140,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,3000,30,0,10369,12,-1,0,0
161,20,0x01,Area of Silence,114,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,9000,40,0,10369,22,0,25,8
162,20,0x02,Summon Greater Elemental,115,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,10000,50,0,10369,35,0,24,2
163,20,0x04,Burning Weapon,116,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,0,30,0,10369,23,0,0,0
164,20,0x08,Nature's Blessing,117,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,0,30,0,10369,28,0,0,0
165,20,0x10,Nature's Miracle,118,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,0,50,0,10369,29,10,25,1
166,20,0x20,Storm Shot,141,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,6,0,10369,32,0,0,0
167,20,0x40,Wind Shackle,120,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,0,15,0,10369,36,-1,25,1
168,20,0x80,Iron Skin,121,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,1000,30,0,10369,27,0,25,2
169,21,0x01,Exotic Vitalize,122,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,0,30,0,10369,26,0,25,1
170,21,0x02,Water Life,123,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_BUFF,SKILLS_LAWFUL_NEUTRAL,3000,1,0,10369,9,-1,25,1
171,21,0x04,Elemental Fire,124,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,3000,20,0,10369,25,0,25,2
172,21,0x08,Storm Walk,125,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,8000,30,0,10369,33,0,25,1
173,21,0x10,Pollute Water,126,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,4200,30,0,10369,30,3,25,2
174,21,0x20,Striker Gale,127,SKILLS_TARGET_MAPOBJECT,SKILLS_TYPE_ATTACK,SKILLS_LAWFUL_NEUTRAL,3000,10,0,10369,34,-1,25,5
175,21,0x40,Soul of Flame,128,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,120000,50,0,10369,31,0,25,2
176,21,0x80,Additional Fire,129,SKILLS_TARGET_NONE,SKILLS_TYPE_NA,SKILLS_LAWFUL_NEUTRAL,0,30,0,10369,21,0,25,1
177,-1,0x00,Reserved 177 ,-1,0,0,0,0,0,0,0,0,0,0,0
178,-1,0x00,Reserved 178,-1,0,0,0,0,0,0,0,0,0,0,0
179,-1,0x00,Reserved 179,-1,0,0,0,0,0,0,0,0,0,0,0
180,-1,0x00,Reserved 180,-1,0,0,0,0,0,0,0,0,0,0,0
181,22,0x10,Dragon Skin,-1,0,0,0,0,0,0,0,0,0,0,0
