en_0,"Client:%s Resource:%u"
en_269,"\f9PM"
en_270,"\f9System"
en_271,"\fQGeneral"
en_272,"\fQNear"
en_273,"\fQWorld"
en_274,"\fQClan"
en_275,"\fQTeam"
en_276,"\fQPM"
en_277,"\fQSystem"
en_278,NEAR
en_279,SHOUT
en_280,WORLD
en_281,CLAN
en_282,TEAM
en_283,PM
en_284,EQUIPMENT
en_285,"\fKStats"
en_286,"\fKEquip"
en_287,"\fKBag"
en_288,BAG
en_289,"\f2Can not operate"
en_290,"\f2Invalid Operation, choose a suitable weapon"
en_291,"\f2Invalid Operation, choose a suitable armor"
en_292,"\f2Invalid Operation, choose a suitable accessory"
en_293,"\fKOK"
en_294,"\fKMAX"
en_295,"\f2Invalid Words"
en_296,"f2Character limit exceeded, please input less text"
en_297,"Client Ver:%u (%s) Resource Ver:%u Client Ver:%u"
en_298,"Invalid Command"
en_299,"\f3Error|"
en_300,"\f>Internal|"
en_301,"\fFWorld|"
en_302,"\fCClan|"
en_303,"\fUTeam|"
en_304,"\faTrade|"
en_305,"\f<Union|"
en_306,"\fHShout|"
en_307,"\fKTalk|"
en_308,"\fPPrivate Message|"
en_309,"\fKSTR"
en_310,"\fKCON"
en_311,"\fKDEX"
en_312,"\fKWIS"
en_313,"\fKINT"
en_314,"\fKCHA"
en_315,"\fKRmaining"
en_316,"\fKFinish"
en_317,"\fKCancel"
en_318,SPELLS
en_319,"\fKCommon"
en_320,"\fQCommon"
en_321,"\fKClass"
en_322,"\fQClass"
en_323,"\f7Distance:%u"
en_324,"\f7Distance:Fullscreen"
en_325,"\fPMP Consume:%u"
en_326,"\fHItem Consume:%s"
en_327,"\fHItem Consumed:Nil"
en_328,"\fKUSE"
en_329,SOCIAL
en_330,"\fQFriend"
en_331,"\fQTeam"
en_332,"\fQClan"
en_333,"\fQMail"
en_334,"\fQBlocked"
en_335,"\fKOK"
en_336,"\fKCancel"
en_337,Storage
en_338,Storage:
en_339,Inventory:
en_340,"\fKStore"
en_341,"\fKWithdraw"
en_342,Yes
en_343,No
en_344,"BGM :"
en_345,"SFX :"
en_346,"\fKClan :"
en_347,"\fKClass:"
en_348,"\fKHP   :"
en_349,"\fKMP   :"
en_350,"\fKLevel:"
en_351,"\fKAC   :"
en_352,"\fKSTR  :"
en_353,"\fKDEX  :"
en_354,"\fKCON  :"
en_355,"\fKWIS  :"
en_356,"\fKCHA  :"
en_357,"\fKINT  :"
en_358,"\f>Start"
en_359,"\fKRoyal"
en_360,"\fKKnight"
en_361,"\fKMage"
en_362,"\fKElf"
en_363,"\f>Class Selection"
en_364,"\f>Return"
en_365,"\f>Create"
en_366,"\fKEnter Character Name"
en_367,"\f>Manual"
en_368,"\fKRemain"
en_369,"\f>Cancel"
en_370,"\f>Done"
en_371,"Length of name was limited(1-%d character)"
en_372,"\f7Create Character"
en_373,"\f:Royal"
en_374,"\f:Knight"
en_375,"\f:Mage"
en_376,"\f:Elf"
en_377,"\f>Auto"
en_378,"\f>Auto"
en_379,"\f>Auto"
en_380,"\f>Auto"
en_381,"\f>Auto"
en_382,"\f>Auto"
en_383,"\f>Auto"
en_384,"\f>Auto"
en_385,"　　　     Inheriting honor and courage from their noble lineage, they are born clan leaders and warriors. They can equip most weapons and armor."
en_386,"　　　       As a symbol of people's will, the loyal, courageous and mighty Knights are sworn to defeat all evil and defend the innocent."
en_387,"　　　     They have mastered the ancient knowledge of magic, allowing them to strike enemies with deadly spells!"
en_388,"　      The Elves strive to return peace and freedom to all lands. They are trained to be balanced warriors, able to use different types of weapons and spells."
en_389,"CON:Control how much HP you will gain when you level up; also how quickly you regain HP/MP.\nSTR:Affects both combat damage and your ability to carry items.\nWIS:Affects your innate magic resistance, also how much MP you will gain each level.\nINT:Determines your spellpower, which affects how well your spells take effect.\nDEX:Determines your attack accuracy, especially with missile weapons, like bows.\nCHA:Affects how many dogs or tamed mobs you can have at one time. It is also important for Princes."
en_390,"Do you want to delete the selected character “%s”?"
en_391,"\f=[NORMAL]"
en_392,"\f2[SAFE]"
en_393,"\f3[PK]"
en_394,"\f6!!!Invalid region!!!"
en_395,"Recent Channel:\fW%s"
en_396,"No selected target, action aborted"
en_397,"Elf Vision :"
en_398,Kick
en_399,"Add Friend"
en_400,"\fKIAP"
en_401,AC:%d
en_402,"\fKEnter Name of Bookmark:"
en_403,"Enter item amount:"
en_404,"Enter amount:"
en_405,"\f3You return to a normal state."
en_406,"You feel heighten from excitement."
en_407,"You feel connected to the spirits of the people and forest. "
en_408,"You feel heighten from excitement."
en_409,"Only those level under %u can use this item."
en_410,"\fGYou're paralyzed. Can't move."
en_411,"\fGYou're petrified. Can't move."
en_412,"\fGHypnotized"
en_413,"\faFrozen"
en_414,"\faStunned"
en_415,"\faYou are stuck."
en_416,"\fGYou can move now."
en_417,"s "
en_418,"Loc: (%u,%u)"
en_419,"Server Start: %02d-%02d-%02d %02d:%02d:%02d"
en_420,"Texture: Count=%u Loaded=%u (%uKB) Max=%uKB"
en_421,n/a
en_422,"\f3What!"
en_423,"Error:file not found"
en_424,"\fPAmount:%u"
en_425,"\fKPlease input text:"
en_426,"\fKPlease input title:"
en_427,Back
en_428,"Server Announcement"
en_429,"\f3Description not found!!"
en_430,"Join clan"
en_431,Leave
en_432,"\f2Your wisdom is growing."
en_433,"Please enter the clan's name:"
en_434,"%s\f3Cooldown: %.1f sec.\n"
en_435,"%s\f=Set: [%s]\n"
en_436,"Input text can not be empty"
en_437,"Please enter a valid email format"
en_438,"Please speak more slowly"
en_439,"Google Play:"
en_440,Logout
en_441,"\fKAchieve"
en_442,"Server Maintainance"
en_443,"Repeated Message"
en_444,"Launch Failed (%d) :ROOT Detected"
en_445,"Launch Failed (%d) :Simulator Detected"
en_446,"Launch Failed(%d) :Suspicious application Detected: %s "
en_447,"Launch Failed (%d) :Unable to read game data"
en_448,"\fKDone"
en_449,"Lock / Unlock"
en_450,"\f9Discard"
en_451,"Confirm Discard Item"
en_452,"Confirm Discard '%s'?"
en_453,"Hack Detected. Simulator/Automation tools"
en_454,"\f=Payment End:%s\n"
en_455,"Start"
en_456,"Recover"
en_457,"\f9ACHV"
en_458,"Server is full at this moment. Position in Queue: %d"
en_459,"Cannot read subscription info, please try again"
en_460,"Please wait for the subscription window to pop up\nPlease press ok to restart after subscription process is completed"
en_461,"Subscription will expire soon. Renew your subscription now? (Grace Period: %d sec)"
en_462,Subscription
en_463,"You are logged in as a guest. Your character will not be saved if Teon is uninstalled."
en_464,"Account Register"
en_465,"Cannot register. Please check your login status."
en_466,"Teon will restart after registration is completed."
en_467,"Cannot register. This email address is already in use."
en_468,"Connecting to account server..."
en_469,"Lv %d"
en_470,"Do you want to stop deleting the selected character “%s”?"
en_471,(Del)
en_472,"\fKThis character will be deleted at"
en_473,"\f=Press the Delete button again to cancel"
en_474,"Account is empty, press Game Start to continue"
en_475,"Account recovery can only be used with registered accounts\n For other users, please press Game Start instead"
en_476,　Recover　|　Cancel　
en_477,"\fKRefresh"
en_478,Rank
en_479,Cls/Lv
en_480,LDR
en_481,GUR
en_482,ELT
en_483,TRN
en_484,"Are you sure you want to leave the clan?"
en_485,"Enter new title:"
en_486,"Enter new rank:"
en_487,　GUR　|　ELT　|　TRN　
en_488,"Clan leader has initiated the disbanding of this clan, and will be effective at %s"
en_489,Ed.Title
en_490,Ed.Rank
en_491,Disband
en_492,Cancel
en_493,"\f=Clan Notice:"
en_494,"Are you sure you want to cancel disbanding of the clan?"
en_495,"Are you sure you want to kick player “%s“?"
en_496,"Enter new clan notice:"
en_497,Kick
en_498,EULA
en_499,"\f>Welcome to the world of Teon. To provide you with a stable and fair gaming environment, we (Lakoo Games) ask that you take the time to read through and follow the player code of conduct. By creating a character and entering Teon, you accept all the terms and conditions below. Questions or concerns regarding the player code of conduct can be directed to cs@lakoo.com.\n\n\f=[Account Security]\n\n\f>1. Players use Google accounts to log on to Teon. Our server cannot distinguish if a verified Google account is logged in by its rightful owner or another person.\n2. We strongly recommend players to enhance the security measures to protect the Google accounts used for playing Teon. Players can visit our official website (teon.lakoo.com) and read through the Google Account Security Instruction page for more detailed information.\n3. We strongly recommend players to activate the two-step verification feature.\n4. Each purchased downloading of Teon client can only be used for one Google account.\n\n\f=[Character Names]\n\n\f>Your character name might just be a handle at the beginning. As you explore into the game, however, it will play an increasingly important role. It will represent your characteristics, reputation, and ability. Please make sure to value this right of yours\nand give your characters beautiful names.\nYou can select your character and clan names freely. To secure and maintain the gaming environment, however, you may not use any names (non-exhaustive):\nThat incorporates 'swear' words or which are otherwise offensive, defamatory, vulgar, obscene, hateful, or racially, ethnically or otherwise objectionable;\nRelated to drugs, sex, alcohol, or criminal activity;\nThat fall into any other special category (e.g. Belonging to another person with the intent to impersonate that person, including without limitation a ""Game Master"" or any other employee or agent of Lakoo Games). Such behaviors could and will lead to a suspension of your account.\n\n\f=[Selling of Items]\n\n\f>1. We will not take initiative to interfere the trade of items or gold that are generated from proper channels, in the game or in the ""real world"".\n2. We do not recommend players to purchase or sell items or gold for ""real"" money.\n3. Should a player insist on trading outside the game, he or she must bear all risks of loss or damage caused. We will not participate or settle any disputes caused by trades outside the game.\n4. If any trades are associated with using or exploiting errors in design and/or ""program bugs"", we will backtrack the trades and fix the abnormal output.\n5. We do not provide any forms of account history inquiry services. Should a player need to take legal action and thus request for the relevant records to present as evidence,\nplease contact us with the email address corresponding to the in-game character and provide us the legal documents and a colored copy of your personal ID.\n\n\f=[Game Masters (GM)]\n\n\f>1. In-game GM list: TeonGM01 - TeonGM09; GM01 - GM99; Judgment Scythe.\nAny of those who declare themselves as GM but not included in the list above are impostors. Please report them to us ASAP.\n2. The name of a GM is always displayed in special yellow or black color.\n3. GMs will not ask for your account information in the game, forums or by any other means. Please beware of scam/fraud.\n4. GMs or Lakoo employees will not sell good or items to players inside or outside the game. Any of those who are trying to sell gold or items in the name of GMs are most likely scammers. Please report them to us ASAP.\n\n\f=[PvP Rules]\n\n\f>In the world of Teon, eliminating opponents (taking out hostile players or being taken out by other players) is considered a part of the game content instead of harassment.\nWhile playing the game, a player has to activate the PvP mode to attack another player. When a player takes out another, it leaves a system record which modifies the attacker's lawful value. Meanwhile, there are sanctuaries in the game where PvP activities are forbidden.\nWe do not judge how do players behave in PvP activities. If, however, such activities have severely affected your normal gaming experience,\nyou may contact a GM and we will handle accordingly as the case might be.\n\n\f=[Prohibited behaviors while playing Teon]\n\n\f>Prohibited behaviors related to ""Chat Channels""\n1. Posting and spreading information on trading virtual items outside game or with real ""money"".\n2. Repeatedly posting similar messages that disrupt the normal flow of dialogue in Chat or otherwise act in a manner that negatively affects other users.\n3. Including without limitation: Words that are offensive, defamatory, vulgar, obscene, hateful, or racially, ethnically or otherwise objectionable; or related to drugs, sex, alcohol, or criminal activity;\n4. Exploiting font colors to mislead other players. For example: Pretend to send system message about the monsters that will drop certain loot.\n5. Pass yourself off as an official employee; spreading rumors and/or trying to harm the gaming environment.\n6. Posting messages that are irrelevant to Teon that disrupt the normal flow of dialogue in Chat or otherwise act in a manner that negatively affects other users.\n\nOther prohibited behaviors\n1. Pass yourself off as a GM to conduct scam/fraud by spreading rumors.\n2. Spreading info on any non-official Teon clients, third-party program, and/or other exploits.\n3. Cheat or utilize Teon ""exploits"" in any way to obtain a competitive advantage over other players.\n4. Using any non-official client/program to cheat, including without limitation: Auto-combat, auto-leveling, auto-potion, auto-questing, game accelerating, or/and any other behaviors that are not intended by the initial design.\nLakoo Games may, in its sole and absolute discretion, take whatever action it deems necessary to preserve the integrity of Teon. Violation of any of the Rules of Conduct set forth above may result in actions being taken by Lakoo Games, effective immediately or at a time determined by Lakoo Games, which may include without limitation:\n\f3 Forced disconnection from the game server\nTemporarily suspending your access to Teon,\nChange of character names,\nRetrieving items and currencies,\nPermanently suspending your access to Teon.\n\n\f=[Requests that will not be accepted by Teon team]\n\n\f>1. Recovery of any loss or damage caused by the player's own carelessness. For example: Normally conducted in-game trades, in which the player didn't inspect the items carefully.\n2. Recovery of any loss or damage caused by offline trades.\n3. Unreasonable requests on cancellation of a suspension issued for the violation of the code of conduct.\nPlayers may inquire about the reason of suspension and cooperate with our employees to apply for a re-evaluation.\n4. Recovery any loss or damage caused by normal gameplay. For example: Gear enhancement failure, items and experience points lost upon death.\n5. Recovery any loss or damage caused by carelessly believing in rumors and other false information. Please take our official website as the only reliable source of information.\n6. Any false information that is forged to deceive the official staff.\n\n\f=[Important Information]\n\n\f>Lakoo Games reserves the right to modify the player code of conduct based on the development and demands of Teon. Should the code of conduct be modified, we will publish the modification on Teon's official website and players will not receive a notification individually. Please pay attention to the announcements on our official website.\nThis code of conduct comes into effect on November 10th, 2016."
en_500,Select
en_501,"Boss: %s spawned (%s) [ %s]"
en_502,"Your game purchase is registered to another account. Press OK for more details."
en_503,Report
en_504,"Target Character"
en_505,"Report Type"
en_506,Bot
en_507,Others
en_508,"Supplement:(100 characters)"
en_509,"Loki's Question"
en_510,"A | B | C | D "
en_511,Agree
en_512,"Local Account"
en_513,"\n(Reference Number:%s)"
en_514,"Subscription validation failed due to an unknown error"
en_515,"Subscribing account validation error"
en_516,"Verification of the subscribing account is invalid"
en_517,"Subscribing account and game account do not match"
en_518,"The subscribing account and the game account don't match"
en_519,"This subscribing account is already connected to another game account"
en_520,"%s\f=Minimum level: %d\n"
en_521,"%s\f=Maximum level: %d\n"
en_522,"%s\f=Location of use: %s (%u,%u)\n"
en_523,"Account is suspended until %s."
en_524,"Account is permanently suspended"
en_525,"(Reasons: %s)\nPlease contact cs@lakoo.com\nPlease provide your detailed account information, Subject: Teon-Account Issue"
en_526,"Confirm to discard item"
en_527,"Are you sure you want to discard '%s'?"
en_528,Feedback
en_529,Questions
en_530,FAQ
en_531,"Select a feedback category"
en_532,"Description of the problem"
en_533,"Official website: teon.lakoo.com"
en_534,"Contact: cs@lakoo.com"
en_535,"Please select a category of your feedback"
en_536,Submit
en_537,"The content is %d longer than the character limit."
en_538,"You are playing as a guest. Please register your account before submitting your issue."
en_539,"Thanks! We’ll reply ASAP. (Custom service only in English and Chinese)"
en_540,ID
en_541,"Character name"
en_542,"Character level"
en_543,"Character class"
en_544,"Client Version"
en_545,ACC:
en_546,CHAR:
en_547,Keyword:
en_548,Notice:
en_549,DESC:
en_550,"Enter your account that your character is bound to"
en_551,"Enter your character name in the game here"
en_552,"Keywords of your feedback"
en_553,"The prompt system error message"
en_554,"Describe the time when the issue occurred, how it happened and what you think the expect behavior should be"
en_555,Bug
en_556,Charge
en_557,Problem
en_558,Advice
en_559,"Character problem"
en_560,"Can't log in"
en_561,"\fP HP cost: %u"
en_562,Reset:UI
en_563,"To left"
en_564,"To right"
en_565,"Teon requires permission to access game account and assets"
en_566,Messages
en_567,Placard
en_568,Updates
en_569,"Select to View"
en_570,Content
en_571,"Select the announcement on the left to view"
en_572,"The target you are looking for is not in the current region"
en_573,Version
en_574,"\fKTemp"
en_575,"\fQTemp"
en_576,"You're being attacked by \f3%s\f=."
en_577,ATKer:
en_578,Manage
en_579,Settings
en_580,"Redemption Code"
en_581,"Enter redemption code."
en_582,Confirm
en_583,Replay
en_584,"Redemption Code Rules:"
en_585,"Server"
en_586,Server
en_587,"Select a server first!"
en_588,操作
en_589,"%s spawned [%s] %s"
en_590,"Consignment House"
en_591,"The Sealed Oath (15-Day) will be unsealed upon purchase. 360 hours will also be added to its duration."
en_592,"You can consign again or retrieve the item if it hasn't been sold after 6 hours."
en_593,"*Purchase is irreversible. Please double-check the price."
en_594,"Remaining %s"
en_595,"Consign Again"
en_596,Retrieve
en_597,"Consign Item"
en_598,"Select the item you want to consign."
en_599,"On Consignment"
en_600,"Consignment expired."
en_601,Weapon
en_602,Armor
en_603,Item
en_604,"One-Handed Sword"
en_605,"Two-Handed Sword"
en_606,Bludgeon
en_607,Dagger
en_608,Staff
en_609,Bow
en_610,Spear
en_611,"One-Handed Spear"
en_612,"Two-Handed Bludgeon"
en_613,Helmet
en_614,"Body Armor"
en_615,Doublet
en_616,Cloak
en_617,Gauntlets
en_618,Shoes
en_619,Shield
en_620,Belt
en_621,Necklace
en_622,Ring
en_623,Earrings
en_624,Gauntlets
en_625,Arrow
en_626,Staff
en_627,Gem
en_628,Potion
en_629,Scroll
en_630,"Spell Book"
en_631,Material
en_632,Others
en_633,"Unit Price:"
en_634,Quantity:
en_635,"Sort by Price"
en_636,Total
en_637,"Quantity Sold"
en_638,Earnings
en_639,"Total Earnings:"
en_640,"Claim All"
en_641,"Claim Earnings"
en_642,"Consignment Ratio:"
en_643,Sold
en_644,"No search results."
en_645,All
en_646,"Please be patient and wait for the payment pop-up window."
en_647,"Verifying the payment on the server... Please be patient."
en_648,"Processing timed out. Please contact our customer service."
en_649,"Verification failed. Error code: %d."
en_650,"Payment verified. Please check."
en_651,"The system will attempt to verify your previously failed purchase (up to 3 times) if you make another purchase."
en_652,"Failed to complete the payment process. Please check the status of your linked account."
en_653,"*Consignment is irreversible. Please double-check the price."
en_654,"Armor Set"
en_655,"Link your account first before you make a payment."
en_656,Warflag
en_657,"Pick a name for your Warflag."
en_658,"Edit Warflag"
en_659,"1. Select a Warflag design and pick a name for your Warflag. The Warflag name must be unique.\n2. Warflags of different designs have different prices. \n3. Each clan has only one chance to set its Warflag. Once the Warflag has been set, it can't be changed."
en_660,"Searching for your subscription record"
en_661,"Subscription retrieved successfully"
en_662,"Cannot find any subscription record"
en_663,"Your subscription period has already expired"
en_664,Use
en_665,Costume
en_666,Redeem
en_667,Frame
en_668,Default
en_669,BG
en_670,Figure
en_671,Effect
en_672,"Not enough dyes"
en_673,Duration
en_674,"Preview cannot be saved. You have already redeemed a costume in this slot."
en_675,"You cannot redeem the same combination of BG, Figure and Effect twice."
en_676,"Member Exclusive"
en_677,"Redeeming this costume in slot &hhu will cost %d dyes. Proceed?"
en_678,"1. Magical Dyes can redeem costumes in different combinations for different durations\n2. Special Magical Dyes can redeem specific costumes in specific combinations\n3. For each character there are 3 slots of costumes. The default costume cannot be modified"
en_679,"BG %hhu, Figure %hhu, Effect %hhu"
en_680,"Duration: %hhu days"
en_681,"Preview is saved."
en_682,"Redeemed successfully"
en_683,Confirmation
en_684,"Not enough dyes"
en_685,"Duration: %hhu days"
en_686,"You are about to spend %d number of dyes to redeem %hhu frame:"
en_687,"Char Info"
en_688,"Char Info"
en_689,Costume
en_690,Save
en_691,Redeem
en_692,Next
en_693,Previous
en_694,"Expiry Time"
en_695,R
en_696,K
en_697,M
en_698,E
en_699,"Magical Dye"
en_700,"Default Costume"
en_701,"\f2 You received %s"
en_702,Draw
en_703,"Lock Hotkeys"
en_704,NPC
en_705,Cancel
en_706,"Member Exclusive"
en_707,"Team profile"
en_708,"Please sign in to a registered account before you proceed to subscribe."
en_709,"You are playing as a guest. Please register your account before subscribing."
en_710,"Purchase verification has failed and no billing has occurred."
en_711,"Purchase verification has failed and no billing has occurred."
en_712,"Attacker Select:"
en_713,"MultiTouch:"
en_714,"Switch Hotkeys"
en_715,"You must have an Oath to enable secondary hotkeys."
en_716,"Level Display:"
en_717,"Account Warehouse"
en_718,"Clan Warehouse"
en_719,"Character Warehouse"
en_720,"You are disconnected. Reconnecting: %u"
en_721,Reconnect
en_722,"Love it and rate it"
en_723,"Could have done better"
en_724,"Remain silent"
en_725,"Thank you for playing Teon. How do you like Teon so far?"
en_726,"Accepted"
en_727,"Completed"
