tw_0,"客戶端版本:%s 資源版本:%u"
tw_187,"%s\f>材質：%s\n重量：%u\n"
tw_188,"\f3不可交易\n"
tw_189,"\f2不會損壞\n"
tw_190,"\f>雙手武器\n"
tw_191,"%s\f3無法強化\n"
tw_192,"%s\f2安定：%d\n"
tw_193,"%s\f>%s強化：%+d\n"
tw_194,"%s\f>%s損壞：%d\n"
tw_195,"%s\f>%s命中：%+d\n"
tw_196,"%s\f>%s傷害：%+d\n"
tw_197,"%s\f>%s遠程命中：%+d\n"
tw_198,"%s\f>%s遠程物攻：%+d\n"
tw_199,"%s\f>%s力量：%+d\n"
tw_200,"%s\f>%s敏捷：%+d\n"
tw_201,"%s\f>%s體質：%+d\n"
tw_202,"%s\f>%s精神：%+d\n"
tw_203,"%s\f>%s智力：%+d\n"
tw_204,"%s\f>%s毅力：%+d\n"
tw_205,"%s\f>%s幸運：%+d\n"
tw_206,"%s\f>%s體力：%+d\n"
tw_207,"%s\f>%s魔力：%+d\n"
tw_208,"%s\f>%s魔防：%+d\n"
tw_209,"%s\f>%s抵抗冰凍：%+d\n"
tw_210,"%s\f>%s抵抗石化：%+d\n"
tw_211,"%s\f>%s抵抗昏睡：%+d\n"
tw_212,"%s\f>%s抵抗暗盲：%+d\n"
tw_213,"%s\f>%s抵抗眩暈：%+d\n"
tw_214,"%s\f>%s抵抗束搏：%+d\n"
tw_215,"\f2吸取體力\n"
tw_216,"\f2吸取魔力\n"
tw_217,"%s\f>%s體力恢復：%+d\n"
tw_218,"%s\f>%s魔力恢復：%+d\n"
tw_219,"%s\f>%s魔攻：%+d\n"
tw_220,"\f2加速效果\n"
tw_221,"%s\f>營養度：%d\n"
tw_222,"%s\f>照明範圍：%d\n"
tw_223,"%s\f>%s火防：%+d\n"
tw_224,"%s\f>%s水防：%+d\n"
tw_225,"%s\f>%s風防：%+d\n"
tw_226,"%s\f>%s土防：%+d\n"
tw_227,%s未鑑定
tw_228,"\fK使  用"
tw_229,"\fK銷  毀"
tw_230,"\fK出  售"
tw_231,"\fK體力"
tw_232,"\fK魔力"
tw_233,"\fK經驗"
tw_234,"\fK等級"
tw_235,血盟:
tw_236,稱號:
tw_237,"\fK物理攻擊"
tw_238,"\fK魔法攻擊"
tw_239,"\fK物理防禦"
tw_240,"\fK魔法防禦"
tw_241,"\fK移速/攻速"
tw_242,"\fK遠程閃避"
tw_243,"\fK火　　防"
tw_244,"\fK水　　防"
tw_245,"\fK風　　防"
tw_246,"\fK土　　防"
tw_247,"\fK飽餓度"
tw_248,"\fK力量"
tw_249,"\fK體質"
tw_250,"\fK敏捷"
tw_251,"\fK智力"
tw_252,"\fK精神"
tw_253,"\fK毅力"
tw_254,"\fK剩餘"
tw_255,"\fK修改稱號"
tw_256,"\fK分配屬性"
tw_257,"\fK屬  性"
tw_258,"\fK裝  備"
tw_259,"\fK背  包"
tw_260,"屬  性"
tw_261,"\fK添 加"
tw_262,"\fK發  言"
tw_263,"\f8用戶名 信息"
tw_264,"\f9綜  合"
tw_265,"\f9附  近"
tw_266,"\f9世  界"
tw_267,"\f9血  盟"
tw_268,"\f9隊  伍"
tw_269,"\f9密  語"
tw_270,"\f9系  統"
tw_271,"\fQ綜  合"
tw_272,"\fQ附  近"
tw_273,"\fQ世  界"
tw_274,"\fQ血  盟"
tw_275,"\fQ隊  伍"
tw_276,"\fQ密  語"
tw_277,"\fQ系  統"
tw_278,"當  前"
tw_279,"大  喊"
tw_280,"世  界"
tw_281,"血  盟"
tw_282,"隊  伍"
tw_283,"密  語"
tw_284,"裝  備"
tw_285,"\fK屬  性"
tw_286,"\fK裝  備"
tw_287,"\fK背  包"
tw_288,"背  包"
tw_289,"\f2操作已取消"
tw_290,"\f2操作無效 請選擇武器"
tw_291,"\f2操作無效 請選擇防具"
tw_292,"\f2操作無效 請選擇飾品"
tw_293,"\fK確定"
tw_294,"\fK最  大"
tw_295,"\f2無效字符"
tw_296,"\f2內容過長，請重新輸入"
tw_297,"客戶端版本:%u (%s) 資源版本:%u 伺服器版本:%u"
tw_298,指令錯誤
tw_299,"\f3錯|"
tw_300,"\f>內|"
tw_301,"\fF世|"
tw_302,"\fC盟|"
tw_303,"\fU隊|"
tw_304,"\fa交|"
tw_305,"\f<聯|"
tw_306,"\fH喊|"
tw_307,"\fK聊|"
tw_308,"\fP密|"
tw_309,"\fK力量"
tw_310,"\fK體質"
tw_311,"\fK敏捷"
tw_312,"\fK精神"
tw_313,"\fK智力"
tw_314,"\fK毅力"
tw_315,"\fK剩餘點數"
tw_316,"\fK確定"
tw_317,"\fK取消"
tw_318,"魔  法"
tw_319,"\fK普通魔法"
tw_320,"\fQ普通魔法"
tw_321,"\fK職業魔法"
tw_322,"\fQ職業魔法"
tw_323,"\f7距離：%u"
tw_324,"\f7距離：全屏"
tw_325,"\fP消耗MP：%u"
tw_326,"\fH消耗物品：%s"
tw_327,"\fH消耗物品：無"
tw_328,"\fK使 用"
tw_329,"社  交"
tw_330,"\fQ好  友"
tw_331,"\fQ隊  伍"
tw_332,"\fQ血  盟"
tw_333,"\fQ郵  件"
tw_334,"\fQ黑名單"
tw_335,"\fK確 定"
tw_336,"\fK取 消"
tw_337,"倉  庫"
tw_338,倉庫空間：
tw_339,背包空間：
tw_340,"\fK存  入"
tw_341,"\fK取  出"
tw_342,是
tw_343,否
tw_344,"背景音樂 :"
tw_345,"聲音特效 :"
tw_346,"\fK血盟 ："
tw_347,"\fK職業 ："
tw_348,"\fK體力 ："
tw_349,"\fK魔力 ："
tw_350,"\fK等級 ："
tw_351,"\fK防禦 ："
tw_352,"\fK力量 ："
tw_353,"\fK敏捷 ："
tw_354,"\fK體質 ："
tw_355,"\fK精神 ："
tw_356,"\fK毅力 ："
tw_357,"\fK智力 ："
tw_358,"\f>開始遊戲"
tw_359,"\fK王 族"
tw_360,"\fK騎 士"
tw_361,"\fK法 師"
tw_362,"\fK精 靈"
tw_363,"\f>選擇職業"
tw_364,"\f>返 回"
tw_365,"\f>創造角色"
tw_366,"\fK請輸入角色名稱"
tw_367,"\f>手動調整"
tw_368,"\fK剩餘點數"
tw_369,"\f>取 消"
tw_370,"\f>確 定"
tw_371,輸入的角色名稱字必須在(1-%d)中文或(1-%d)英文的範圍內
tw_372,"\f7可以創造新角色"
tw_373,"\f:王族"
tw_374,"\f:騎士"
tw_375,"\f:法師"
tw_376,"\f:精靈"
tw_377,"\f>推薦配點"
tw_378,"\f>推薦配點"
tw_379,"\f>推薦配點"
tw_380,"\f>推薦配點"
tw_381,"\f>推薦配點"
tw_382,"\f>推薦配點"
tw_383,"\f>推薦配點"
tw_384,"\f>推薦配點"
tw_385,　　　操作難度：★★★☆擁有高貴不凡的血統和崇高的名望，榮譽和權威的象徵！可穿戴大部分的武器和裝備，秉承皇室血脈，富有凝聚力，可發動號召，組建血盟！
tw_386,　　　操作難度：★★以手中之劍立誓，必將剷除邪惡，捍衛和平！是勇敢與忠誠的象徵。擁有強健的體魄和強大的韌性，可裝備重型盔甲，他們的力量更會為手中的武器增加優勢，造成更大傷害！
tw_387,　　　操作難度：★★★★★受創世神蒂安眷顧，天賦異能，能領悟自然法則之力，學習魔法技能，擁有強大的遠程輸出能力。種類繁多的魔法技能，多重選擇的發展方向，詮釋魔法的至高真諦！
tw_388,　　　操作難度：★★☆熱愛和平，嚮往正義與自由，對待其他生物都非常友善，但極度敵視邪惡種族。他們的能力是最為平衡的，能使用多種類的武器裝備和魔法，擁有多種成長方向！
tw_389,"體質：影響角色體力成長和體力恢復量，增加最大負重值。\n力量：提高角色近戰物攻力，增加近戰命中率和最大負重值。\n精神：影響角色魔力成長和魔力恢復量，增加魔法防禦。\n智力：增加角色魔法基礎傷害力和魔法暴擊率，降低魔力消耗值。\n敏捷：提高角色遠程物攻力，增加物理防禦、命中率和遠程閃避。\n毅力：增加角色攜帶寵物的數量，提高盟主的血盟成員容納量。"
tw_390,確定永久刪除角色“%s”嗎？
tw_391,"\f=[普通區]"
tw_392,"\f2[安全區]"
tw_393,"\f3[戰鬥區]"
tw_394,"\f6!!!錯誤區域!!!"
tw_395,"一鍵發言頻道為:\fW%s"
tw_396,"\f3沒有選中目標，無法進行該操作"
tw_397,"精靈夜視 :"
tw_398,"踢  除"
tw_399,加好友
tw_400,"\fK儲值"
tw_401,防禦:%d
tw_402,"\fK請輸入書籤名稱:"
tw_403,請輸入物品數量：
tw_404,請輸入數量：
tw_405,"\f3你的情緒恢復到正常。"
tw_406,"\f2從身體的深處感到熱血沸騰。"
tw_407,"\f2身體內深刻的感覺到充滿了森林的活力。"
tw_408,"\f2從身體的深處感到熱血沸騰。"
tw_409,"\f3等級 %u 以下才可使用此道具。"
tw_410,"\fG你的身體開始麻痹，無法動彈。"
tw_411,"\fG你的身體開始僵直石化，無法動彈。"
tw_412,"\fG你開始沉睡。"
tw_413,"\fa被凍結了。"
tw_414,"\fa處於昏迷狀態。"
tw_415,"\fa雙腳受困無法移動。"
tw_416,"\fG你可以動了。"
tw_417," 的"
tw_418,"當前坐標: (%u,%u)"
tw_419,"伺服器啟動: %02d-%02d-%02d %02d:%02d:%02d"
tw_420,"紋理資料: 數量=%u 已載入=%u (%uKB) 最大可被載入=%uKB, //420"
tw_421,"未知方向"
tw_422,"\f3什麼!"
tw_423,"錯誤：對話檔 不存在"
tw_424,"\fP數量：%u"
tw_425,"\fK請輸入文字:"
tw_426,"\fK請輸入新稱號名稱:"
tw_427,"返回"
tw_428,"伺服器公告"
tw_429,"\f3描述不存在!!"
tw_430,加血盟
tw_431,離開血盟
tw_432,"\f2你的精神力變強。"
tw_433,請輸入新血盟的名稱
tw_434,"%s\f3冷卻：%.1f秒\n"
tw_435,"%s\f=套裝:[%s]\n"
tw_436,輸入內容不能為空
tw_437,請輸入正確的郵件格式
tw_438,"\f3你說得太快了"
tw_439,"Google Play："
tw_440,登出
tw_441,"\fK成  就"
tw_442,伺服器維護中!
tw_443,"\f3重複發言太快了！"
tw_444,"無法進入遊戲 (%d) ：偵測到ROOT"
tw_445,"無法進入遊戲 (%d) ：偵測到模擬器"
tw_446,"無法進入遊戲 (%d) ：偵測到懷疑外掛程式： %s "
tw_447,"無法進入遊戲 (%d) ：無法讀取遊戲檔案"
tw_448,"\fK完 成"
tw_449,切換物品鎖定狀態
tw_450,"\f9銷  毀"
tw_451,確認銷毀
tw_452,真的要銷毀'%s'嗎?
tw_453,"\f3偵測到外掛、模擬器或自動化工具"
tw_454,"\f=到期日：%s\n"
tw_455,開始遊戲
tw_456,帳號復原
tw_457,"\f9成  就"
tw_458,伺服器人數已滿。排隊中，目前位置：%d
tw_459,讀取訂閱資訊失敗，請重試
tw_460,"請等待確認訂閱彈窗，勿進行任何操作\n訂閱成功後，請按確定並重新啟動遊戲"
tw_461,"訂閱即將過期，要現在續訂嗎？ (寬限期：%d秒)"
tw_462,訂閱
tw_463,"\f2您現在是遊客登入狀態，移除 Teon 後，數據將無法保留\n請與遊戲內的永生者完成帳戶綁定"
tw_464,綁定帳號
tw_465,"\f3綁定帳號失敗，請檢查登入狀態"
tw_466,"\f=綁定帳號後，遊戲將重新啟動"
tw_467,"\f3綁定帳號失敗，帳號已被使用"
tw_468,正在連接帳號伺服器⋯⋯
tw_469,"Lv %d"
tw_470,確定取消刪除角色“%s”嗎？
tw_471,(刪除中)
tw_472,"\fK此角色將於到期時間被刪除"
tw_473,"\f=取消刪除請按橙黃刪除鍵"
tw_474,此帳號未創建角色，繼續請按開始遊戲
tw_475,"恢復帳戶僅供已綁定帳戶的用戶使用\n其他用戶請按取消返回，直接開始遊戲"
tw_476,　確定恢復　|　取消　
tw_477,"\fK更  新"
tw_478,階級
tw_479,職等
tw_480,盟主
tw_481,守護
tw_482,精英
tw_483,學徒
tw_484,確認要離開血盟嗎？
tw_485,請輸入新稱號：
tw_486,請選擇新階級：
tw_487,　守護　|　精英　|　學徒　
tw_488,"\f=血盟已經由盟主申請解散，最終解散時間為%s"
tw_489,賦予稱號
tw_490,賦予階級
tw_491,解散血盟
tw_492,取消解散
tw_493,"\f=血盟公告："
tw_494,確認要取消解散血盟嗎？
tw_495,確認要請離玩家“%s”嗎？
tw_496,請輸入血盟公告：
tw_497,請離血盟
tw_498,玩家守則
tw_499,"\f>感謝和歡迎進入Teon世界，基於維護長期穩定公平的遊戲環境原則，我們（拉闊遊戲，下同），\n請玩家仔細閱讀以下玩家守則，並在Teon世界遊玩中遵照執行。玩家創建遊戲角色進入Teon，\n即被視為同意接受以下玩家守則。 若對玩家守則有任何疑問，請發信cs@lakoo.com。\n\n\f=[帳戶安全]\n\n\f>1.Teon遊戲是使用Google賬戶登錄，我們伺服器無法分辨，已通過Google驗證\n的帳戶登錄請求，是否為本人所為。\n2.強烈建議玩家加強用於登錄Teon世界的Google賬戶的安全設定。玩家可通過官網主頁\n(teon.lakoo.com)的《Google帳戶安全須知》瞭解帳戶安全的設定教程。\n3.強烈建議玩家啟用兩步驟驗證功能。\n4.每一次付費下載Teon，只能用於一個Google帳戶登入使用。\n\n\f=[遊戲角色命名]\n\n\f>遊戲中的名字開始只作為一種稱呼，但是隨著您在遊戲中的經歷，它將不僅僅只是一個稱謂，\n更代表一個人品格、信譽和能力。請慎重使用賦予您的這種權利，讓您的名字跟隨您在遊戲歷程\n中寫下漂亮的篇章。\n雖然人物昵稱、血盟名稱等名稱可以由您來命名，但是為了維護遊戲世界中的潔淨與和諧，我們\n不允許出現包括但不限於：性別歧視、種族歧視、宗教、淫穢、粗俗、誹謗、恐嚇、攻擊性、\n污辱性、可能引起普遍誤會的、違禁藥品等內容的名稱。\n另有特殊情況（如利用類似他人遊戲名字故意違反遊戲守則），將在核實其行為後，鎖號處罰。\n\n\f=[關於交易]\n\n\f>1.我們不會主動干涉，來源正常的金幣或物品，在遊戲內外交易。\n2.我們不主張玩家在遊戲外，以真實貨幣或物品進行遊戲金幣或物品的交易。\n3.若玩家堅持在遊戲外進行交易的，由此帶來的一切風險和損失由玩家自行承擔。\n我們不參與解決任何遊戲外交易所產生的玩家之間的糾紛。\n4.若遊戲內外的交易內容，涉及惡意利用漏洞的產出，我們將回溯交易，追回異常產出。\n5.我們不提供遊戲歷程等數據查詢服務，若玩家因採取法律行動需要，申請調取遊戲歷程作為\n證據，請以角色對應帳戶郵箱聯繫我們，並提供取證文書與身份證件的彩色照片。\n\n\f=[遊戲管理員(GM)]\n\n\f>1.遊戲內GM名稱清單：TeonGM01~TeonGM09，GM01~GM99，裁決之鐮；\n在這個清單之外的，聲稱自己是GM的角色都是假的，歡迎玩家舉報。\n2.GM名稱皆為特殊的黃或純黑變色。\n3.任何GM都不會在遊戲、論壇或任何途徑，向玩家索要帳戶密碼等資訊，請勿被騙。\n4.任何GM或我們的同事，都不會在遊戲內或遊戲外，向玩家販賣金幣、裝備和物品。所有以\nGM或者官方名義出售金幣、裝備和物品的都是騙子，歡迎玩家舉報。\n\n\f=[遊戲PK規則]\n\n\f>在Teon世界，對手消滅（即PK您的敵人或其它玩家），認為是遊戲的一部分而不是騷擾性的。\n在遊戲中玩家需要切換PK模式後才能PK其他玩家，當玩家進行PK成功殺死其他玩家後，\n系統會有記錄，並影響玩家的正義值。同時，遊戲中也設計了禁止PK的安全區域。\n我們不主張也不反對玩家在遊戲世界中的快意恩仇。但在某些極端或過分騷擾的情況下，\n請聯繫GM，視情況處理。\n\n\f=[Teon不允許的行為]\n\n\f>聊天頻道內不允許行為\n1.發佈遊戲外虛擬道具與真實貨幣交易的訊息。\n2.重複發送高度相似訊息，引起其他玩家的困擾和投訴。\n3.發送包括但不限於：歧視、宗教、淫穢、誹謗、恐嚇、攻擊性、污辱性、違禁藥品等訊息。\n4.利用文字變色偽裝系統訊息，引起玩家普遍誤會，如：偽裝成怪物掉落寶物的訊息。\n5.冒充官方，散佈謠言，企圖破壞遊戲環境。\n6.傳播任何與Teon世界無關的資訊，引起其他玩家的困擾和投訴。\n\n其他不允許行為\n1.冒充GM，實行欺詐，散佈謠言等方式，從中得利。\n2.宣傳非官方發佈的Teon玩家端、外掛工具、方法等。\n3.惡意利用遊戲漏洞獲利，影響遊戲世界的公平。\n4.使用非官方發佈程式作弊，包括但不限於：自動打怪、自動練級、自動吃藥、自動完成任務、\n加速行走等等，超出遊戲設計合理範圍的操作。\n玩家若有以上行為，經過確認后，我們會視乎實際情況，採用以下的行動：\n\f3強制下線\n暫時鎖號\n強制修改角色名稱\n追回物品和金錢\n永久鎖號\n\n\f=[Teon不受理的請求]\n\n\f>1.玩家請求追回因自身疏忽大意而損失的虛擬財產，如：遊戲交易系統正常，玩家交易時未認真\n檢視交易物品。\n2. 玩家請求追回因線下交易而損失的虛擬財產。\n3.玩家無理要求解鎖因違反Teon玩家守則而被執行強制措施的帳戶，玩家可查詢被鎖原因、\n配合官方復查、合理申訴帳戶解鎖。\n4.玩家請求追回因正常遊戲設定而損失的虛擬財產，如：強化裝備失敗，角色死亡掉寶，減經驗等。\n5.玩家請求追回因聽信謠言而損失的虛擬財產，任何訊息請以官網資訊為准，切勿聽信謠言。\n6.偽造虛假訊息，企圖欺騙官方管理員，獲取利益的行為。\n\n\f=[重要提示]\n\n\f>我們有權根據Teon世界的發展和需要，保留修改本《玩家守則》的權利。修改《玩家守則》時，\n我們將會在Teon遊戲官方主頁公告修改內容，而不另對玩家進行個別通知。請玩家留意\n官方主頁的公告。\n本《玩家守則》自2016年11月10日生效。"
tw_500,選擇目標
tw_501,"\f=Boss: %s 刷出 (%s) [ %s]"
tw_502,購買記錄已綁定至其他遊戲帳號，請按確定查看詳情
tw_503,舉報
tw_504,目標玩家
tw_505,舉報類型
tw_506,外掛
tw_507,其他
tw_508,補充說明:(100字內)
tw_509,洛基的謎題
tw_510,"A | B | C | D "
tw_511,同意並遵守
tw_512,本地帳號
tw_513,"\n(參考編號：%s)"
tw_514,訂閱驗證發生未知錯誤
tw_515,訂閱帳戶驗證錯誤
tw_516,訂閱帳戶驗證無效
tw_517,訂閱帳戶與遊戲帳戶不符
tw_518,訂閱帳戶與遊戲帳戶不符
tw_519,訂閱帳戶已關聯其他遊戲帳戶
tw_520,"%s\f=最低使用等級：%d\n"
tw_521,"%s\f=最高使用等級：%d\n"
tw_522,"%s\f=使用位置：%s (%u,%u)\n"
tw_523,"\f=帳號被鎖，將會在 %s 解鎖。"
tw_524,"\f3帳號永久被鎖"
tw_525,"\n(原因: %s)\n請聯繫cs@lakoo.com\n請提供帳戶詳細資訊，標題：Teon-帳戶問題"
tw_526,確認丟棄物品
tw_527,真的要丟棄'%s'嗎?
tw_528,聯繫客服
tw_529,常見問題
tw_530,FAQ
tw_531,選擇反饋類型
tw_532,反饋問題說明描述
tw_533,官網地址:teon.lakoo.com
tw_534,聯繫郵箱:cs@lakoo.com
tw_535,請於左邊反饋類型欄選擇需要提交的問題類型
tw_536,提交反饋
tw_537,輸入內容已超出%d個字符限制
tw_538,請你綁定遊戲賬戶再反饋問題
tw_539,提交成功，請留意你登錄遊戲的帳號郵箱內查看回覆
tw_540,ID
tw_541,角色名稱
tw_542,角色等級
tw_543,角色職業
tw_544,客戶端版本
tw_545,帳號:
tw_546,角色:
tw_547,關鍵詞:
tw_548,系統提示:
tw_549,描述:
tw_550,輸入綁定遊戲角色的帳號
tw_551,輸入遊戲裡的角色名稱
tw_552,反饋問題的關鍵詞
tw_553,遊戲出現錯誤後出現的系統提示
tw_554,描述問題出現的時間、操作、困擾或者期望的解決方案等
tw_555,BUG反饋
tw_556,月費問題
tw_557,遊戲問題
tw_558,投訴建議
tw_559,角色異常
tw_560,登入被拒
tw_561,"\fP消耗HP：%u"
tw_562,"重置快捷鍵："
tw_563,向左
tw_564,向右
tw_565,Teon需要系統權限存取遊戲帳號和資源
tw_566,信息
tw_567,公告
tw_568,更新內容
tw_569,選擇查看
tw_570,內容
tw_571,請於左邊選擇有關公告內容
tw_572,你尋找的目標不在當前地區
tw_573,版本歸屬
tw_574,"\fK臨時魔法"
tw_575,"\fQ臨時魔法"
tw_576,"\fC你現在正被 \f=%s \fC襲擊"
tw_577,受擊提醒：
tw_578,管理
tw_579,設置
tw_580,兌換碼
tw_581,請輸入兌換碼：
tw_582,確定兌換
tw_583,錄影
tw_584,兌換碼規則描述：
tw_585,選擇伺服器
tw_586,伺服器
tw_587,請先選擇遊戲伺服器
tw_588,操作
tw_589,"\f=%s 刷出 [%s] %s"
tw_590,寄賣市場
tw_591,成功購買被封印的誓約書[15天]後，將直接解封並增加360小時的有效誓約。
tw_592,寄賣超過6小時後無人購買，可重新上架或取回
tw_593,"* 請核對價格，購買後不可撤銷。"
tw_594,剩餘%s
tw_595,重新上架
tw_596,取回
tw_597,我要寄賣
tw_598,請選擇寄賣物品
tw_599,正在寄賣
tw_600,寄賣已超時
tw_601,武器
tw_602,防具
tw_603,道具
tw_604,單手劍
tw_605,雙手劍
tw_606,鈍器
tw_607,匕首
tw_608,杖
tw_609,弓
tw_610,矛
tw_611,單手矛
tw_612,雙手鈍器
tw_613,頭盔
tw_614,盔甲
tw_615,T恤
tw_616,斗篷
tw_617,手套
tw_618,鞋
tw_619,盾牌
tw_620,腰帶
tw_621,項錬
tw_622,戒指
tw_623,耳環
tw_624,臂甲
tw_625,箭矢
tw_626,魔杖
tw_627,寶石
tw_628,藥品
tw_629,卷軸
tw_630,魔法書
tw_631,材料
tw_632,其他
tw_633,單價：
tw_634,數量：
tw_635,價格排序
tw_636,總數
tw_637,已售數量
tw_638,收益
tw_639,總收益：
tw_640,一鍵提取
tw_641,領取收益
tw_642,寄賣比例：
tw_643,已出售
tw_644,搜尋不到你輸入的物品名稱
tw_645,全部
tw_646,請等待確認付費彈窗，勿進行任何操作
tw_647,正在與伺服器驗證付費結果，勿進行任何操作
tw_648,處理已超時，如有問題請聯繫客服
tw_649,伺服器驗證失敗，錯誤代碼:%d
tw_650,付費並驗證成功，請檢查
tw_651,再次付費操作會嘗試驗證上次失敗的交易(最多三次)
