cn_0,"客户端版本:%s 资源版本:%u"
cn_125,创造角色失败（角色空间已满），请重新尝试
cn_126,无效的角色名称，请重新输入
cn_127,无效的角色创造信息
cn_128,"组  队"
cn_129,加好友
cn_130,"交  易"
cn_131,"密  语"
cn_132,"对 话"
cn_133,主动攻击
cn_134,"黑名单"
cn_135,\f3无效类型
cn_136,创建队伍
cn_137,"离  开"
cn_138,输入的中文(0-%d)或字符(0-%d)超出了的数量限制。
cn_139,\f=取消交易
cn_140,\f2交易成功
cn_141,"交  易"
cn_142,请输入物品数量：
cn_143,"\f7未锁定"
cn_144,"\f7已锁定"
cn_145,"\fK锁定交易"
cn_146,"\fK确定交易"
cn_147,"我的物品 \f=(交易有风险，请谨防诈骗)"
cn_148,寄卖市场
cn_149,成功售出
cn_150,未售出
cn_151,购买
cn_152,出售
cn_153,领取
cn_154,物品
cn_155,名称
cn_156,剩余时间
cn_157,价格
cn_158,状态
cn_159,"\fK购买"
cn_160,"\fK取消"
cn_161,"\fK领取"
cn_162,输入搜索名称
cn_163,输入搜索名称过长
cn_164,选择出售数量：
cn_165,"\fK全部"
cn_166,选择出售价格：
cn_167,总价：
cn_168,选择出售期限：
cn_169,12小时
cn_170,24小时
cn_171,48小时
cn_172,手续费：
cn_173,"\fK出  售"
cn_174,"\fK取  消"
cn_175,请输入出售数量
cn_176,请输入出售价格
cn_177,"\f3受诅咒的\n"
cn_178,"\f2受祝福的\n"
cn_179,"\f>职业："
cn_180,"\f>[所有职业]"
cn_181,"\f>[王]"
cn_182,"\f>[骑]"
cn_183,"\f>[精]"
cn_184,"\f>[法]"
cn_185,"%s\f>对小怪/大怪的伤害：%d/%d\n"
cn_186,"%s%s防御：%d\n"
cn_187,"%s\f>材质：%s\n重量：%u\n"
cn_188,"\f3不可交易\n"
cn_189,"\f2不会损坏\n"
cn_190,"\f>双手武器\n"
cn_191,"%s\f3无法强化\n"
cn_192,"%s\f2安定：%d\n"
cn_193,"%s\f>%s强化：%+d\n"
cn_194,"%s\f>%s损坏：%d\n"
cn_195,"%s\f>%s命中：%+d\n"
cn_196,"%s\f>%s伤害：%+d\n"
cn_197,"%s\f>%s远程命中：%+d\n"
cn_198,"%s\f>%s远程物攻：%+d\n"
cn_199,"%s\f>%s力量：%+d\n"
cn_200,"%s\f>%s敏捷：%+d\n"
cn_201,"%s\f>%s体质：%+d\n"
cn_202,"%s\f>%s精神：%+d\n"
cn_203,"%s\f>%s智力：%+d\n"
cn_204,"%s\f>%s毅力：%+d\n"
cn_205,"%s\f>%s幸运：%+d\n"
cn_206,"%s\f>%s体力：%+d\n"
cn_207,"%s\f>%s魔力：%+d\n"
cn_208,"%s\f>%s魔防：%+d\n"
cn_209,"%s\f>%s抵抗冰冻：%+d\n"
cn_210,"%s\f>%s抵抗石化：%+d\n"
cn_211,"%s\f>%s抵抗昏睡：%+d\n"
cn_212,"%s\f>%s抵抗暗盲：%+d\n"
cn_213,"%s\f>%s抵抗眩晕：%+d\n"
cn_214,"%s\f>%s抵抗束搏：%+d\n"
cn_215,"\f2吸取体力\n"
cn_216,"\f2吸取魔力\n"
cn_217,"%s\f>%s体力恢复：%+d\n"
cn_218,"%s\f>%s魔力恢复：%+d\n"
cn_219,"%s\f>%s魔攻：%+d\n"
cn_220,"\f2加速效果\n"
cn_221,"%s\f>营养度：%d\n"
cn_222,"%s\f>照明范围：%d\n"
cn_223,"%s\f>%s火防：%+d\n"
cn_224,"%s\f>%s水防：%+d\n"
cn_225,"%s\f>%s风防：%+d\n"
cn_226,"%s\f>%s土防：%+d\n"
cn_227,%s未监定
cn_228,"\fK使  用"
cn_229,"\fK销  毁"
cn_230,"\fK出  售"
cn_231,"\fK体力"
cn_232,"\fK魔力"
cn_233,"\fK经验"
cn_234,"\fK等级"
cn_235,血盟:
cn_236,称号:
cn_237,"\fK物理攻击"
cn_238,"\fK魔法攻击"
cn_239,"\fK物理防御"
cn_240,"\fK魔法防御"
cn_241,"\fK移速/攻速"
cn_242,"\fK远程闪避"
cn_243,"\fK火　　防"
cn_244,"\fK水　　防"
cn_245,"\fK风　　防"
cn_246,"\fK土　　防"
cn_247,"\fK饱饿度"
cn_248,"\fK力量"
cn_249,"\fK体质"
cn_250,"\fK敏捷"
cn_251,"\fK智力"
cn_252,"\fK精神"
cn_253,"\fK毅力"
cn_254,"\fK剩余"
cn_255,"\fK修改称号"
cn_256,"\fK分配属性"
cn_257,"\fK属  性"
cn_258,"\fK装  备"
cn_259,"\fK背  包"
cn_260,"属  性"
cn_261,"\fK添 加"
cn_262,"\fK发  言"
cn_263,"\f8用户名 信息"
cn_264,"\f9综  合"
cn_265,"\f9附  近"
cn_266,"\f9世  界"
cn_267,"\f9血  盟"
cn_268,"\f9队  伍"
cn_269,"\f9密  语"
cn_270,"\f9系  统"
cn_271,"\fQ综  合"
cn_272,"\fQ附  近"
cn_273,"\fQ世  界"
cn_274,"\fQ血  盟"
cn_275,"\fQ队  伍"
cn_276,"\fQ密  语"
cn_277,"\fQ系  统"
cn_278,"当  前"
cn_279,"大  喊"
cn_280,"世  界"
cn_281,"血  盟"
cn_282,"队  伍"
cn_283,"密  语"
cn_284,"装  备"
cn_285,"\fK属  性"
cn_286,"\fK装  备"
cn_287,"\fK背  包"
cn_288,"背  包"
cn_289,"\f2操作已取消"
cn_290,"\f2操作无效 请选择武器"
cn_291,"\f2操作无效 请选择防具"
cn_292,"\f2操作无效 请选择饰品"
cn_293,"\fK确定"
cn_294,"\fK最  大"
cn_295,"\f2无效字符"
cn_296,"\f2内容过长，请重新输入"
cn_297,"客户端版本:%u (%s) 资源版本:%u 服务器版本:%u"
cn_298,指令错误
cn_299,"\f3错|"
cn_300,"\f>内|"
cn_301,"\fF世|"
cn_302,"\fC盟|"
cn_303,"\fU队|"
cn_304,"\fa交|"
cn_305,"\f<联|"
cn_306,"\fH喊|"
cn_307,"\fK聊|"
cn_308,"\fP密|"
cn_309,"\fK力量"
cn_310,"\fK体质"
cn_311,"\fK敏捷"
cn_312,"\fK精神"
cn_313,"\fK智力"
cn_314,"\fK毅力"
cn_315,"\fK剩余点数"
cn_316,"\fK确定"
cn_317,"\fK取消"
cn_318,"魔  法"
cn_319,"\fK普通魔法"
cn_320,"\fQ普通魔法"
cn_321,"\fK职业魔法"
cn_322,"\fQ职业魔法"
cn_323,"\f7距离：%u"
cn_324,"\f7距离：全屏"
cn_325,"\fP消耗MP：%u"
cn_326,"\fH消耗物品：%s"
cn_327,"\fH消耗物品：无"
cn_328,"\fK使 用"
cn_329,"社  交"
cn_330,"\fQ好  友"
cn_331,"\fQ队  伍"
cn_332,"\fQ血  盟"
cn_333,"\fQ邮  件"
cn_334,"\fQ黑名单"
cn_335,"\fK确 定"
cn_336,"\fK取 消"
cn_337,"仓  库"
cn_338,仓库空间：
cn_339,背包空间：
cn_340,"\fK存  入"
cn_341,"\fK取  出"
cn_342,是
cn_343,否
cn_344,"背景音乐 :"
cn_345,"声音特效 :"
cn_346,"\fK血盟 ："
cn_347,"\fK职业 ："
cn_348,"\fK体力 ："
cn_349,"\fK魔力 ："
cn_350,"\fK等级 ："
cn_351,"\fK防御 ："
cn_352,"\fK力量 ："
cn_353,"\fK敏捷 ："
cn_354,"\fK体质 ："
cn_355,"\fK精神 ："
cn_356,"\fK毅力 ："
cn_357,"\fK智力 ："
cn_358,"\f>开始游戏"
cn_359,"\fK王 族"
cn_360,"\fK骑 士"
cn_361,"\fK法 师"
cn_362,"\fK精 灵"
cn_363,"\f>选择职业"
cn_364,"\f>返 回"
cn_365,"\f>创造角色"
cn_366,"\fK请输入角色名称"
cn_367,"\f>手动调整"
cn_368,"\fK剩余点数"
cn_369,"\f>取 消"
cn_370,"\f>确 定"
cn_371,输入的角色名称字必须在(1-%d)中文或(1-%d)英文的范围内
cn_372,"\f7可以创造新角色"
cn_373,"\f:王族"
cn_374,"\f:骑士"
cn_375,"\f:法师"
cn_376,"\f:精灵"
cn_377,"\f>推荐配点"
cn_378,"\f>推荐配点"
cn_379,"\f>推荐配点"
cn_380,"\f>推荐配点"
cn_381,"\f>推荐配点"
cn_382,"\f>推荐配点"
cn_383,"\f>推荐配点"
cn_384,"\f>推荐配点"
cn_385,　　　操作难度：★★★☆拥有高贵不凡的血统和崇高的名望，荣誉和权威的象徵！可穿戴大部分的武器和装备，秉承皇室血脉，富有凝聚力，可发动号召，组建血盟！
cn_386,　　　操作难度：★★以手中之剑立誓，必将铲除邪恶，扞卫和平！是勇敢与忠诚的象徵。拥有强健的体魄和强大的韧性，可装备重型盔甲，他们的力量更会为手中的武器增加优势，造成更大伤害！
cn_387,　　　操作难度：★★★★★受创世神蒂安眷顾，天赋异能，能领悟自然法则之力，学习魔法技能，拥有强大的远程输出能力。种类繁多的魔法技能，多重选择的发展方向，诠释魔法的至高真谛！
cn_388,　　　操作难度：★★☆热爱和平，向往正义与自由，对待其他生物都非常友善，但极度敌视邪恶种族。他们的能力是最为平衡的，能使用多种类的武器装备和魔法，拥有多种成长方向！
cn_389,"体质：影响角色体力成长和体力恢复量，增加最大负重值。\n力量：提高角色近战物攻力，增加近战命中率和最大负重值。\n精神：影响角色魔力成长和魔力恢复量，增加魔法防御。\n智力：增加角色魔法基础伤害力和魔法暴击率，降低魔力消耗值。\n敏捷：提高角色远程物攻力，增加物理防御、命中率和远程闪避。\n毅力：增加角色携带宠物的数量，提高盟主的血盟成员容纳量。"
cn_390,确定永久删除角色“%s”吗？
cn_391,"\f=[普通区]"
cn_392,"\f2[安全区]"
cn_393,"\f3[战斗区]"
cn_394,"\f6!!!错误区域!!!"
cn_395,"一键发言频道为:\fW%s"
cn_396,"\f3没有选中目标，无法进行该操作"
cn_397,"精灵夜视 :"
cn_398,"踢  除"
cn_399,加好友
cn_400,"\fK储值"
cn_401,防御:%d
cn_402,"\fK请输入书签名称:"
cn_403,请输入物品数量：
cn_404,请输入数量：
cn_405,"\f3你的情绪恢复到正常。"
cn_406,"\f2从身体的深处感到热血沸腾。"
cn_407,"\f2身体内深刻的感觉到充满了森林的活力。"
cn_408,"\f2从身体的深处感到热血沸腾。"
cn_409,"\f3等级 %u 以下才可使用此道具。"
cn_410,"\fG你的身体开始麻痹，无法动弹。"
cn_411,"\fG你的身体开始僵直石化，无法动弹。"
cn_412,"\fG你开始沉睡。"
cn_413,"\fa被冻结了。"
cn_414,"\fa处于昏迷状态。"
cn_415,"\fa双脚受困无法移动。"
cn_416,"\fG你可以动了。"
cn_417," 的"
cn_418,"当前坐标: (%u,%u)"
cn_419,"服务器启动: %02d-%02d-%02d %02d:%02d:%02d"
cn_420,"纹理资料: 数量=%u 已载入=%u (%uKB) 最大可被载入=%uKB, //420"
cn_421,"未知方向"
cn_422,"\f3什么!"
cn_423,"错误：对话档 不存在"
cn_424,"\fP数量：%u"
cn_425,"\fK请输入文字:"
cn_426,"\fK请输入新称号名称:"
cn_427,"返回"
cn_428,"服务器公告"
cn_429,"\f3描述不存在!!"
cn_430,加血盟
cn_431,离开血盟
cn_432,"\f2你的精神力变强。"
cn_433,请输入新血盟的名称
cn_434,"%s\f3冷却：%.1f秒\n"
cn_435,"%s\f=套装:[%s]\n"
cn_436,输入内容不能为空
cn_437,请输入正确的邮件格式
cn_438,"\f3你说得太快了"
cn_439,"微信："
cn_440,登出
cn_441,"\fK成  就"
cn_442,服务器维护中!
cn_443,"\f3重复发言太快了！"
cn_444,"无法进入游戏 (%d) ：侦测到ROOT"
cn_445,"无法进入游戏 (%d) ：侦测到模拟器"
cn_446,"无法进入游戏 (%d) ：侦测到怀疑外挂程式： %s "
cn_447,"无法进入游戏 (%d) ：无法读取游戏档案"
cn_448,"\fK完 成"
cn_449,切换物品锁定状态
cn_450,"\f9销  毁"
cn_451,确认销毁
cn_452,真的要销毁'%s'吗?
cn_453,"\f3侦测到外挂、模拟器或自动化工具"
cn_454,"\f=到期日：%s\n"
cn_455,开始游戏
cn_456,帐号复原
cn_457,"\f9成  就"
cn_458,服务器人数已满。排队中，目前位置：%d
cn_459,读取订阅资讯失败，请重试
cn_460,"请等待确认订阅弹窗，勿进行任何操作\n订阅成功后，请按确定并重新启动游戏"
cn_461,"订阅即将过期，要现在续订吗？ (宽限期：%d秒)"
cn_462,订阅
cn_463,"\f2您现在是游客登入状态，移除 伊丁天堂 后，数据将无法保留\n请与游戏内的永生者完成帐户绑定"
cn_464,绑定帐号
cn_465,"\f3绑定帐号失败，请检查登入状态"
cn_466,"\f=绑定帐号后，游戏将重新启动"
cn_467,"\f3绑定帐号失败，帐号已被使用"
cn_468,正在连接帐号服务器??
cn_469,"Lv %d"
cn_470,确定取消删除角色“%s”吗？
cn_471,(删除中)
cn_472,"\fK此角色将于到期时间被删除"
cn_473,"\f=取消删除请按橙黄删除键"
cn_474,此帐号未创建角色，继续请按开始游戏
cn_475,"恢复帐户仅供已绑定帐户的用户使用\n其他用户请按取消返回，直接开始游戏"
cn_476,　确定恢复　|　取消　
cn_477,"\fK更  新"
cn_478,阶级
cn_479,职等
cn_480,盟主
cn_481,守护
cn_482,精英
cn_483,学徒
cn_484,确认要离开血盟吗？
cn_485,请输入新称号：
cn_486,请选择新阶级：
cn_487,　守护　|　精英　|　学徒　
cn_488,"\f=血盟已经由盟主申请解散，最终解散时间为%s"
cn_489,赋予称号
cn_490,赋予阶级
cn_491,解散血盟
cn_492,取消解散
cn_493,"\f=血盟公告："
cn_494,确认要取消解散血盟吗？
cn_495,确认要请离玩家“%s”吗？
cn_496,请输入血盟公告：
cn_497,请离血盟
cn_498,玩家守则
cn_499,"感谢和欢迎进入伊丁天堂，基于维护长期稳定公平的游戏环境原则，我们（拉阔游戏，下同），请玩家仔细阅读以下玩家守则，并在伊丁天堂游玩中遵照执行。玩家创建游戏角色进入伊丁天堂，即被视为同意接受以下玩家守则。若对玩家守则有任何疑问，请发信 cs@lakoo.com。\n\n\f=[帐户安全]\f>\n\n1.伊丁天堂游戏是使用微信账户登录，我们服务器无法分辨：已通过微信验证的帐户登录行为，是否为本人所为。\n2.强烈建议玩家加强用于登录伊丁天堂的微信账户的安全设定。\n3.强烈建议玩家的微信帐户绑定本人手机号码。\n4.玩家游戏数据只保留最近90天，超过90天的数据将会删除，无法提供查询。\n5.同一 IP 在同一区服，登录数量最高限制为5个。如果登录数量超过5个，我们将对所有帐户进行冻结处理，情节较轻的冻结帐户7天，情节严重的永久冻结帐户。\n6.帐户密码标志着帐户的使用权。玩家帐户使用的密码不得以任何理由给予另外一个玩家。若玩家将密码透露给第三方，意味着将帐户的使用权也转让给了第三方，由此产生的帐户以及游戏道具损失由玩家自行负责！\n\n\f=[游戏角色命名]\n\n\f>\n游戏中的名字开始只作为一种称呼，但是随着您在游戏中的经历，它将不仅仅只是一个称谓，更代表一个人品格、信誉和能力。请慎重使用赋予您的这种权利，让您的名字跟随您在游戏数据中写下漂亮的篇章。\n虽然人物昵称、血盟名称等名称可以由您来命名，但是为了维护游戏世界中的洁净与和谐，我们不允许出现包括但不限于：国内外政治敏感人物、涉嫌反动、恐怖主义敏感词、迷信、性别歧视、种族歧视、宗教、淫秽、粗俗、诽谤、恐吓、攻击性、污辱性、可能引起普遍误会的、违禁药品等内容的名称。\n另有特殊情况（如利用类似他人游戏名字故意违反游戏守则），将在核实其行为后，锁号处罚。\n\n\f=[关于交易]\f>\n\n1.我们不会主动干涉，来源正常的金币或物品，在游戏内外交易。\n2.我们不主张玩家在游戏外，以真实货币或物品进行游戏金币或物品的交易。\n3.若玩家坚持在游戏外进行交易的，由此带来的一切风险和损失由玩家自行承担。我们不参与解决任何游戏外交易所产生的玩家之间的纠纷。\n4.若游戏内外的交易内容，涉及恶意利用漏洞的产出，我们将回溯交易，追回异常产出。\n5.我们不提供游戏历程等数据查询服务，若玩家因采取法律行动需要，申请调取游戏历程作为证据，请以角色对应帐户联系我们，并提供取证文书与身份证件的彩色照片。\n\n\f=[游戏管理员(GM)]\f>\n\n1.游戏内 GM 名称清单：TeonGM01~TeonGM99；在这个清单之外的，声称自己是 GM 的角色都是假的，欢迎玩家举报。\n2.GM名称颜色皆为特殊的黄或纯黑变色。\n3.任何 GM 都不会在游戏、论坛或任何途径，向玩家索要帐户密码等资讯，请勿被骗。\n4.任何 GM 或我们的同事，都不会在游戏内或游戏外，向玩家贩卖金币、装备和物品。所有以 GM 或者官方名义出售金币、装备和物品的都是骗子，欢迎玩家举报.\n\n\f=[游戏PK规则]\f>\n\n在伊丁天堂世界内，对手击杀（即 PK 您的敌人或其它玩家），认为是游戏的一部分而不是骚扰性的。\n在游戏中玩家需要切换 PK 模式后才能 PK 其他玩家，当玩家进行 PK 成功杀死其他玩家后，系统会有记录，并影响玩家的正义值。同时，游戏中也设计了禁止 PK 的安全区域。我们不主张也不反对玩家在游戏世界中的快意恩仇。\n但在某些极端或过分骚扰的情况下，请联系 GM，视情况处理。\n\n\f=[伊丁天堂不允许的行为]\f>\n\n聊天频道内不允许行为\n1.发布游戏外虚拟道具与真实货币交易的讯息。\n2.重复发送高度相似讯息，引起其他玩家的困扰和投诉。\n3.发送包括但不限于：政治、政治人物、反动、歧视、宗教、迷信、淫秽、诽谤、恐吓、恐怖主义、攻击性、污辱性、违禁药品等讯息。\n4.利用文字变色伪装系统讯息，引起玩家普遍误会，如：伪装成怪物掉落宝物的讯息。\n5.冒充官方，散布谣言，企图破坏游戏环境。\n6.传播任何与伊丁天堂游戏无关的资讯，引起其他玩家的困扰和投诉。\n其他不允许行为\n1.冒充 GM，实行欺诈，散布谣言等方式，从中得利。\n2.宣传非官方发布的伊丁天堂客户端、外挂工具、方法等（外挂工具包含按键精灵，物理辅助点击器等）。\n3.恶意利用游戏漏洞获利，影响游戏世界的公平。\n4.使用非官方发布程式作弊，包括但不限于：自动打怪、自动练级、自动吃药、自动完成任务、加速行走等等，超出游戏设计合理范围的操作。\n玩家若有以上行为，经过确认后，我们会视乎实际情况，采用以下的行动：\n\f3强制下线\f>\n\f3暂时锁账户\f>\n\f3强制修改角色名称\f>\n\f3追回物品和金钱\f>\n\f3永久锁账户\f>\n\n\f=[游戏不受理的请求]\f>\n\n1.玩家请求追回因自身疏忽大意而损失的虚拟财产，如：游戏交易系统正常，玩家交易时未认真检视交易物品。\n2.玩家请求追回因线下交易而损失的虚拟财产。\n3.玩家无理要求解锁因违反伊丁天堂玩家守则而被执行强制措施的帐户，玩家可查询被锁原因、配合官方复查、合理申诉帐户解锁。\n4.玩家请求追回因正常游戏设定而损失的虚拟财产，如：强化装备失败，角色死亡掉落物品，减经验等。\n5.玩家请求追回因听信谣言而损失的虚拟财产，任何讯息请以官网资讯为准，切勿听信谣言。\n6.伪造虚假讯息，企图欺骗官方管理员，获取利益的行为。\n\n\f=[游戏服务之变更及中断]\f>\n\n1.我们拥有所提供的游戏服务内容之制作、追加、变更、删除、维护、保全、保安、解释等的权利，为了维持游戏内的秩序和游戏性，公司可以采取必要的措施。另外，为了提供完整之游戏服务，可根据营运上或技术上的必要性变更服务。\n2.根据第1项变更服务时，我们将在变更之前于游戏服务内公告相关内容。\n3.我们为提供圆满之服务给申请服务之用户，可未经用户额外同意，设置或变更(更新)个别软件、保安软件、支付套件等。但安装广告软件等跟服务无关之软件时，必须告知用户并事先取得同意。\n4.因转让营业、分割、合并等中止营业、提供游戏之合约到期、游戏服务营利等经营不善、难以持续游戏服务时，可中断所有服务。有前述情形时， 应于30日前于游戏服务网页上将游戏服务中断之讯息、中断日期、中断事由、补偿条件等公告。如遇到无法透过事前通知之不得已情形时，我们得采取事后告知之方式通知游戏服务用户。\n5.我们不承担由于服务更改或中断而导致用户预期的非真实的收益损失，或用户未取得公司非直接提供的优惠(包括但不限于需透过参与活动而取得优惠)而导致的任何损失。\n\n\f=[责任限制]\f>\n\n在任何情况下，不论我们是否已经告知该损害，也不论该诉讼是否基于合约、侵害知识产权、侵权、过失或其他请求依据，我们对于您因本守则相关或衍生的或任何他人、团体诉讼、或任何损失、损害、诉讼、请求或其他程序所生的任何偶然性损害、间接性损害、惩罚性赔偿、法定赔偿、定额赔偿、预期利益、或特别损害，我们对您皆不负任何责任。您同意不提出任何与上述责任限制不符的诉讼。部份上述的责任限制在某些管辖地可能不被允许，若有任一法院认为应适用此管辖地的法律，我们应在法律许可的最大程度范围内予以免责。\n\n\f=[重要提示]\f>\n\n我们有权根据伊丁天堂的发展和需要，保留修改本《玩家守则》的权利。修改《玩家守则》时，我们将会在伊丁天堂游戏官方主页公告修改内容，而不另对玩家进行个别通知。请玩家留意官方主页的公告。\n\n本《玩家守则》自2019年8月8日生效。"
cn_500,选择目标
cn_501,"\f=Boss: %s 出现了！ (%s) [ %s]"
cn_502,购买记录已绑定至其他游戏帐号，请按确定查看详情
cn_503,举报
cn_504,目标玩家
cn_505,举报类型
cn_506,外挂
cn_507,其他
cn_508,补充说明:(100字内)
cn_509,洛基的谜题
cn_510,"A | B | C | D "
cn_511,同意并遵守
cn_512,本地帐号
cn_513,"\n(参考编号：%s)"
cn_514,订阅验证发生未知错误
cn_515,订阅帐户验证错误
cn_516,订阅帐户验证无效
cn_517,订阅帐户与游戏帐户不符
cn_518,订阅帐户与游戏帐户不符
cn_519,订阅帐户已关联其他游戏帐户
cn_520,"%s\f=最低使用等级：%d\n"
cn_521,"%s\f=最高使用等级：%d\n"
cn_522,"%s\f=使用位置：%s (%u,%u)\n"
cn_523,"\f=帐号被锁，将会在 %s 解锁。"
cn_524,"\f3帐号永久被锁"
cn_525,"\n(原因: %s)\n请联系cs@lakoo.com\n请提供帐户详细资讯，标题：伊丁天堂-帐户问题"
cn_526,确认丢弃物品
cn_527,真的要丢弃'%s'吗?
cn_528,联系客服
cn_529,常见问题
cn_530,FAQ
cn_531,选择反馈类型
cn_532,反馈问题说明描述
cn_533,官网地址:teon.lakoo.com
cn_534,联系邮箱:cs@lakoo.com
cn_535,请于左边反馈类型栏选择需要提交的问题类型
cn_536,提交反馈
cn_537,输入内容已超出%d个字符限制
cn_538,请你绑定游戏账号再反馈问题
cn_539,提交成功，请留意你登录游戏的帐号邮箱内查看回覆
cn_540,ID
cn_541,角色名称
cn_542,角色等级
cn_543,角色职业
cn_544,客户端版本
cn_545,帐号:
cn_546,角色:
cn_547,关键词:
cn_548,系统提示:
cn_549,描述:
cn_550,输入绑定游戏角色的帐号
cn_551,输入游戏里的角色名称
cn_552,反馈问题的关键字
cn_553,游戏出现错误后出现的系统提示
cn_554,描述问题出现的时间、操作、困扰或者期望的解决方案等
cn_555,BUG反馈
cn_556,月费问题
cn_557,游戏问题
cn_558,投诉建议
cn_559,角色异常
cn_560,登入被拒
cn_561,"\fP消耗HP：%u"
cn_562,"重置快捷键："
cn_563,向左
cn_564,向右
cn_565,伊丁天堂需要系统权限存取游戏帐号和资源
cn_566,信息
cn_567,公告
cn_568,更新内容
cn_569,选择查看
cn_570,内容
cn_571,请于左边选择有关公告内容
cn_572,你寻找的目标不在当前地区
cn_573,版本归属
cn_574,"\fK临时魔法"
cn_575,"\fQ临时魔法"
cn_576,"\fC你现在正被 \f=%s \fC袭击"
cn_577,受击提醒：
cn_578,管理
cn_579,设置
cn_580,兑换码
cn_581,请输入兑换码：
cn_582,确定兑换
cn_583,录影
cn_584,兑换码规则描述：
cn_585,选择服务器
cn_586,服务器
cn_587,请先选择游戏服务器
cn_588,操作
cn_589,"\f=%s 刷出 [%s] %s"
cn_590,寄卖市场
cn_591,成功购买被封印的誓约书[15天]后，将直接解封并增加360小时的有效誓约。
cn_592,寄卖超过6小时后无人购买，可重新上架或取回
cn_593,"* 请核对价格，购买后不可撤销。"
cn_594,剩余%s
cn_595,重新上架
cn_596,取回
cn_597,我要寄卖
cn_598,请选择寄卖物品
cn_599,正在寄卖
cn_600,寄卖已超时
cn_601,武器
cn_602,防具
cn_603,道具
cn_604,单手剑
cn_605,双手剑
cn_606,钝器
cn_607,匕首
cn_608,杖
cn_609,弓
